District Name,District Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral
Abington,10000,"2,246",25,0.3,1.1,0,0,0,0,0
Academy Of the Pacific Rim Charter Public (District),4120000,534,5,,,,,,,
Acton-Boxborough,6000000,"5,342",12,0.1,0.2,0,0,0,0,0
Acushnet,30000,960,4,,,,,,,
Advanced Math and Science Academy Charter (District),4300000,981,1,,,,,,,
Agawam,50000,"3,635",23,0.4,0.4,0,0,0,0,0
Alma del Mar Charter School (District),4090000,978,6,0,0.6,0,0,0,0,0
Amesbury,70000,"1,894",14,0.6,0.1,0,0,0,0,0
Amherst-Pelham,6050000,"1,308",2,,,,,,,
Andover,90000,"5,612",3,,,,,,,
Argosy Collegiate Charter School (District),35090000,577,6,0,0.9,0.2,0,0,0,0
Arlington,100000,"6,063",16,0.1,0.1,0,0,0.1,0,0
Ashburnham-Westminster,6100000,"2,337",20,0.5,0.5,0,0,0,0,0
Ashland,140000,"3,010",13,0.1,0.4,0,0,0,0,0
Assabet Valley Regional Vocational Technical,8010000,"1,145",21,0,1.8,0,0,0,0,0
Athol-Royalston,6150000,"1,655",24,1.3,0.8,0,0,0,0,0
Atlantis Charter (District),4910000,"1,316",22,1.5,0.8,0.2,0,0,0,0
Attleboro,160000,"6,141",41,0.4,0.2,0,0,0.1,0,0
Auburn,170000,"2,644",19,0.3,0.6,0,0,0,0,0
Avon,180000,744,2,,,,,,,
Barnstable,200000,"5,177",50,0,1,0,0,0,0,0
Baystate Academy Charter Public School (District),35020000,465,12,0,2.6,0,0,0,0,0
Bedford,230000,"2,677",5,,,,,,,
Belchertown,240000,"2,193",13,0.1,0.5,0,0,0,0,0
Bellingham,250000,"2,085",7,0,0.3,0,0,0,0,0
Belmont,260000,"4,509",3,,,,,,,
Berkley,270000,891,2,,,,,,,
Berkshire Arts and Technology Charter Public (District),4140000,388,8,1.3,0.8,0,0,0,0,0
Berkshire Hills,6180000,"1,237",2,,,,,,,
Berlin-Boylston,6200000,"1,090",1,,,,,,,
Beverly,300000,"4,832",24,0.1,0.4,0,0,0,0,0
Billerica,310000,"4,940",22,0,0.4,0,0,0,0,0
Blackstone Valley Regional Vocational Technical,8050000,"1,237",2,,,,,,,
Blackstone-Millville,6220000,"1,614",9,0.1,0.4,0,0,0,0,0
